code,crime_severity,priority_code,description
10-6,N,ADM,Busy
1010,N,ADM,SUBJECT TO CALL
1013,N,SERV,Road/weather conditions
1014,N,SERV,PUBSER ESCORT
1016,A,ADM,PRISONER TRANS
1017,A,ADM,PICKUP PAPER
1019,N,ADM,Out at Station
1021,N,ADM,OUT PHONE CALL
1023,N,SERV,Stand-by
1048,N,ADM,Coffee Break
10751,F,P3,VEH ALTERED SN
10752,F,P3,FRAUD USE OF VIN
10801,F,P3,CHOP OWNER OPS
10802,F,P3,CHOP ACTIVITIES
10803,F,P3,CHOP BUY & SELL
10851,F,P4,Vehicle taken/driven without owner's consent (joyriding/GTA)
10851R,F,P4,GTA REPORT
10852,M,P4,VEH TAMPERING JO / VEH TAMPERING IP / VEH TAMPERING RP
10853,M,P4,VEH TAMPERING JO / VEH TAMPERING IP / VEH TAMPERING RP
10855,F,P4,EMBZL VEH RPT
1087,N,SERV,MEET UNIT
109,N,ADM,Undefined or legacy status code
1124,M,P4,ABANDON VEH
1125,N,SERV,TRAFFIC HAZARD
1125A,N,SERV,Animal Hazard
1126,N,SERV,STRAND MOTORIST
1126B,N,SERV,STRAND BOAT
11350,M,P4,POSS NARCOTICS / POSS NARCS RPT
11350A,,,Possession of controlled substance (HS 11350(a))
11351,F,P4,POSS HEROIN SALE / HEROIN SALE RPT
11351.5,,,Possession/purchase of cocaine base for sale
11352,F,P4,TRANSP OF HEROIN / TRANS HEROIN RPT
11352R,F,P4,TRANS HEROIN RPT
11357,M,P4,POSSESSION MJ / POSS OF MJ RPT
11357A,M,P4,POSS CANABIS
11357B,M,P4,POSS MJ LESS OZ
11357C,M,P4,POSS MJ MORE OZ
11357E,M,P3,POSS MJ SCHOOL
11358,W,P4,CULTIVATION MJ / CULTV OF MJ RPT
11359,F,P4,MJ FOR SALE / MJ FOR SALE RPT
11360,F,P4,SALES OF MJ / SALES OF MJ RPT
11364,M,P4,PARAPHERNALIA / PARAPH RPT
11366,F,P3,DISPENSE NARC
113668,F,P3,False compartment
11368,W,P4,FORGING PRESRPT / FORGING PX RPT
11369,F,P4,ALIEN ARR DRUGS / ALIEN ARR DRG RP
11370.1,,,Possession of controlled substance while armed
11377,F,P4,POSS DANG DRUGS / POSS XX DRUGS RP
11377A,M,P4,POSS CNTL SUBST
11377B,M,P4,POSS CNTL SUBST
11378,F,P4,POSS FOR SALES / POSS FOR SALE RP
11378.5,,,Possession of PCP/analog/precursor for sale
11379,F,P4,UL SALE OF SPEED / UL SALE SPEED RP
113795,F,P2,Sale of PCP
113796,F,P2,PCP/METH LAB
11383A,F,P3,METH CHEMICALS
11383B,F,P3,PCP CHEMICALS
11383C,M,P3,POSS EPHEDRINE
11395,,,Treatment-mandated felony hard-drug possession with qualifying priors
1144,F,P4,FATAL T/C / FATAL T/C RPT
1144B,F,P4,FATAL BOAT TC / FATAL BOAT TC RP
1144BR,F,P4,FATAL BOAT TC RP
1144R,F,P4,FATAL T/C RPT
1148,A,ADM,Transport
11550,M,P4,UNDR INFL DRUGS / UNDR INFL HS RPT
11590,A,P4,H&S REGISTRANT
1179,N,SERV,TC W/MEDAID ENRT
1179B,N,SERV,BOAT TC W/MEDAID
